Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
grh2	https://github.com/mokas2017/cp-next-portfolio/issues/2		Backlog		
Créer une fiche employé2	https://github.com/mokas2017/cp-next-portfolio/issues/4		Backlog		
